# Constructed from biom file
#OTU ID	mouse_feces_1	mouse_feces_2	mouse_feces_3	mouse_feces_4	mouse_feces_5	mouse_feces_6	skin_1	skin_2	skin_3	skin_4	skin_5	skin_6	soil_1	soil_2	soil_3	soil_4	soil_5	soil_6
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;__	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7284.0	3.0	31.0	19344.0	9621.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	4924.0	357.0	5950.0	1389.0	28.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	11751.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella	3482.0	4841.0	7.0	1650.0	4846.0	4113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	15.0	7163.0	0.0	2474.0	967.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Domibacillus	168.0	214.0	8908.0	45.0	287.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Phytopseudomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	437.0	0.0	4.0	8119.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;__	4696.0	2068.0	3.0	2026.0	1823.0	5112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	735.0	173.0	0.0	18.0	4172.0	1032.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sangeribacter	2021.0	4685.0	0.0	1311.0	756.0	2254.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__	1891.0	336.0	0.0	386.0	532.0	1820.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	275.0	0.0	89.0	4201.0	263.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;__;__;__	1102.0	1105.0	0.0	568.0	343.0	641.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusimonas	70.0	537.0	0.0	2438.0	618.0	489.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Maribrevibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3419.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Heminiphilus	190.0	1545.0	0.0	351.0	1483.0	179.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	964.0	2107.0	0.0	1777.0	2319.0	5960.0	0.0	2.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	1332.0	786.0	0.0	763.0	1873.0	1404.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
